WIID,Description,Type,Status,Date
81607958,Generate Yearly Report for Vendor,WI4,Completed,1/16/2022
81607964,Process Vendor Invoice,WI3,Open,11/30/2018
81607989,Research Client Check Copy,WI2,Open,6/23/2021
81607967,Research Client Check Copy,WI2,Open,12/22/2020
81607980,Research Client Check Copy,WI2,Open,10/27/2020
81607994,Verify Account Position,WI1,Open,5/2/2020
81607974,Research Client Check Copy,WI2,Open,4/12/2021
81607950,Generate Yearly Report for Vendor,WI4,Open,11/5/2021
81607999,Verify Account Position,WI1,Open,12/27/2019
81607961,Process Vendor Invoice,WI3,Open,3/29/2018
